Name,Score,Characters,Team,Total Played,Win %,Last Match
KJH,9294,Fox,Detroit,366,89,10/13/2017
Duck,9135,Samus,West Bloomfield,85,78,10/8/2017
Ginger,8757,Falco,Brighton,388,77,10/8/2017
Morsecode762,8224,Samus,Grand Rapids,226,80,10/7/2017
Heartstrings,8080,Sheik,Ann Arbor,357,70,10/13/2017
Anther,8068,Pikachu,Dearborn,79,78,10/7/2017
Yoyo,7972,Luigi,Ann Arbor,150,74,10/13/2017
Quang,7946,Ice Climbers,Lansing,138,77,10/7/2017
Magicubed,7735,Peach,Ann Arbor,86,70,10/7/2017
MB-Smash,7720,Sheik,Toledo,256,89,10/11/2017
999,7706,Marth,Ann Arbor,120,72,10/7/2017
Russell,7586,Fox,Lansing,210,71,10/13/2017
i4n,7502,Jigglypuff,Macomb,354,77,10/13/2017
Papyrus,7473,Marth,Macomb,329,71,9/30/2017
Kuyashi,7389,Marth,Lansing,319,71,10/13/2017
Crip,7363,Jigglypuff,Mt. Pleasant,292,75,10/7/2017
Sheep,7338,Fox,Brighton,232,65,10/7/2017
Dirtboy,7315,Peach,Mt. Pleasant,345,84,10/10/2017
tm,7270,Ganondorf,Ypsilanti,231,70,10/7/2017
Paz,7195,Fox,Lansing,111,74,10/12/2017
Techboy,7186,Ice Climbers,Taylor,354,67,10/7/2017
Burlap,7180,Peach,Kalamazoo,114,71,10/7/2017
JCubez,7089,Captain Falcon,Macomb,253,71,10/13/2017
Lain,7076,Marth,Ypsilanti,157,65,9/30/2017
Joka,7075,Fox,Ann Arbor,314,62,10/13/2017
Tran,7038,Fox,Grand Rapids,129,82,10/13/2017
Juggleguy,6865,Captain Falcon,Ann Arbor,87,66,9/17/2017
Mingee,6843,Falco,Ann Arbor,161,63,10/13/2017
Parzival,6756,Marth,Ann Arbor,254,61,10/13/2017
IDCrisis,6742,Falco,Livonia,130,64,10/13/2017
Nexic,6720,Falco,Macomb,183,63,10/13/2017
Datrooph,6717,Falco,Mt. Pleasant,147,69,9/22/2017
Walrus,6670,Sheik,Ann Arbor,268,63,10/3/2017
Hellsing,6650,Marth,Macomb,214,69,10/12/2017
1der,6612,Fox,Toledo,166,63,10/6/2017
DueL,6547,Ganondorf,Mt. Pleasant,161,67,10/13/2017
Woley,6492,Falco,Grand Rapids,118,66,10/7/2017
Honeybaked,6491,Fox,Mt. Pleasant,68,72,9/28/2017
Coin,6474,Luigi,Chelsea,402,63,10/7/2017
Napkin,6411,Sheik,Livonia,56,62,10/13/2017
Yogi Backair,6385,Peach,Lansing,157,63,10/12/2017
Duo,6334,Captain Falcon,Ann Arbor,146,61,10/6/2017
Jakpox,6291,Dr. Mario,Grass Lake,252,60,10/12/2017
Rose,6290,Peach,Macomb,274,61,10/12/2017
Hunt,6242,Captain Falcon,Macomb,237,62,10/13/2017
Jagerbombsoldier,6191,Falco,Macomb,157,58,10/12/2017
Rich,6127,Falco,Dearborn,315,56,10/13/2017
Brazmonkey,6113,Fox,Ann Arbor,33,63,9/12/2017
Beach,6038,Fox,Brighton,245,60,10/6/2017
Bigy,6016,Captain Falcon,,18,77,10/7/2017
Cali,5991,Peach,Mt. Pleasant,201,61,10/6/2017
Math,5972,Captain Falcon,Ann Arbor,85,58,10/13/2017
Coco,5972,Fox,Macomb,55,60,10/2/2017
Jubei,5958,Fox,Toledo,131,56,9/16/2017
DyMg,5953,Sheik,Ann Arbor,28,64,6/28/2017
Ossify,5910,Falco,,24,66,10/7/2017
General Heinz,5902,Captain Falcon,Kalamazoo,59,61,7/25/2017
Mars,5869,Sheik,Ann Arbor,205,55,10/13/2017
Cobb,5855,Ganondorf,Auburn Hills,92,58,10/6/2017
Paul,5847,Fox,Lansing,322,58,10/13/2017
JU4N,5842,Falco,Lansing,106,60,10/12/2017
Treetz,5782,Marth,Livonia,59,57,9/30/2017
Ryko,5777,Falco,Ann Arbor,96,58,8/18/2017
???,5766,Falco,Saginaw,105,69,7/31/2017
BigPappa,5761,Ganondorf,Macomb,38,57,10/7/2017
GoonSquad,5742,Fox,Ann Arbor,136,63,10/7/2017
Rayboyp,5728,Fox,Sault Ste. Marie,96,66,10/15/2017
SuperMegaWalrus,5695,Luigi,Mt. Pleasant,42,61,10/6/2017
Aghi,5691,Sheik,Grass Lake,330,56,10/6/2017
Pops,5686,Falco,Detroit,39,69,10/7/2017
Benji,5660,Captain Falcon,,82,58,7/25/2017
M.A.C.,5626,Ice Climbers,Ann Arbor,210,56,10/13/2017
David,5624,Marth,,32,62,10/13/2017
